Q [*,*]
:    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15 :=
34   35    2   28    8    6   13   33    3   19   21   32   43   48   14   17
35   45   26   27    3   44   24   32   46    5   11   37    8   20   30   12
36   48    4   47   10   45   33    7   25   29   18   30   13   17   34   21
37   18   32    2   13   21   29   38   37   24    3   36   33    1   15   11
38   46   28   12   36   22   31   26   27    2   23   10   16   32   42   19
39   43   49   11   16   27   19    9   35   47   41   20   28   40   45   39
40   40   24    8    1   14   35   17    5    7   19   11   31   22    4   10
41    5   41   15    6   30   23   37    8   26   43   14   39   44   46   48
42   25   44   20   34    3   39   42    6   38   48   12   21   49    9   28
43   26   35    6   46   24    5   16   11   41   28    9   36    4    1    7
44   32   12   23   48   19   40   44   31    3   35   16   20   34   43   46
45    3    9   49   31   15   38    1   21   46   44   39    6   12   26   33
46    8   34   41   30   18   11    4   40   27   15   47   45   14   38   42
47   47   27   13   39   29    2   25   22   33   30   49   42    8    5    9
48   37   42   36   33   10    7   14   18   13   17   19   48   23   24    3
49   22   21   45   17   43   20   28   29   37    7   25   32   10    2   24

:    16   17   18   19   20   21   22   23   24   25   26   27   28   29   30 :=
1    14   46   40    5   39    8   38    3   16   22   36    2   49   20   47
2    19   44    6   28   10   15   26   27   29   32   24   18   20   40   49
3    48   38   41   26   20   12   19   17    8   25   43   28    5   42   13
4    24   29   36    7   43   21   47   10   31    6    9   44   33   18   19
5    23   27   25   18    1   11   41   13   42   37   35   14    4   24   26
6     9   45   17   35   47    3   11    1   46   21   34    7   12   32   43
7    42   33   31   37   34   32   30   40   15   23   48   45   39   16    2
8    28   49   45   36   27   30   31   14   22   43   21   40   13    3   25
9    44    6   32   40   42   17   39   16   30   35    4   11   23   48   18
10   39   35   48   10   33   23   32   24   17    7    6   25   37    5   46
11    5   34   29   16    2    9   18   47   41    1   44   27   10   31   28
12   13   12   26   21   37    4   48   42   36    3   45   46   38   47    6
13   20    3   43   22   18   25    5   19   12   33   15   26    8   17    7
14    7   11   19   46    8   24   29   49    9   20   28   34    2   22   38
15   18    8    5   39   19   20   37    6   32   34   30   41   21    1   22
16   40   28   23   34   38   14   45   43   24   16    2   49   47   44   30
17   11   36   12   15    6   33   42   25   27   10   18   20   29   46   39
18   46   47   24    3   17   16   14   38   48   40   12    9    7    2   23
19    4   21   42   13   31   10   33   44    5    8   19    1   22   34   41
20   32    2   30   48   22   29   28   39    3   17   31    4   46   21   45
21   49    9    7    1   41   45   13   15   35   26   23   36   11   29    4
22   43   13   33   23   26   47    2    8   20   45   22   10    3   28   16
23   22   42   20   12   46   39   15   26   49   31   11   21   35   45   44
24   21   17    9   31   24   34   23   36    4   14   27   38    1   13   35
25   38    4    3   14   35   28    6   30   43   19   17   29   25   26    8
26   41    7   44    8   45    2   40    9   28   48   37   32   24   19   15
27   10   48   15   19   16   37   34   46   47   41   39   42   44   27   12
28    1   30   11   25   49   27    7   33   18   13    5   12   16   23   29
29    2   19   49   11    9   48    3    5   39    4    7   30   27    8   33
30    3   10   38   27   44    5    9   28   13   47   20   22   45   43   31
31   35   32   28   33   13   43   21    2   19   12   14   48   17   25   24
32   26   24   39    6   14   46   43   37   10   29   42   35   40   38   34
33   30   18   21   41   25    7    8   32   38   46    1    6   31   37   36
34   36   37   16   29    4   42   24   34   44   11   25   15   26   39    1
35   31   15   22   47   40    1   49   41   23   36   16   33   18    7   10
36   27   26   37   24   15   38   16   22   11    2    8    5   32   12   20
37   17   43    4    9    7    6   12   35   45   28   49   31   34   14   27
38   47   40    8   30   29   35   20    4    1   38   41   37   14   15    9
39   12   23   18    2    3   44   46   48   25   30   33   17    6   10   21
40   25   41   34   49   36   13   44   23   26   18   47   39   42   33   48
41   16   20    1   42   32   22   10   29   21   27    3   24    9   11   17
42   33   14   46   45    5   31   36    7   40   15   13   43   19   30   32
43   15   25   10   44   30   40   17   20   37   42   38   23   43   49   14
44    6   22    2    4   21   49   25   18    7   39   29   13   36    9   42
45   34   16   27   17   11   19   22   45   14   24   32    8   48   41   37
46   37    1   13   20   23   26   35   12    2    5   46   16   28    6    3
47   45   31   14   43   12   18    4   21    6   44   10    3   15   36   40
48   29   39   35   32   28   41   27   11   34   49   26   47   30    4    5
49    8    5   47   38   48   36    1   31   33    9   40   19   41   35   11

:    31   32   33   34   35   36   37   38   39   40   41   42   43   44   45 :=
1    15   48    6   29   17   30    1   31   23    9   43   21   35   27   28
2    33   30   36    1    4   45   39   11   13   46   38   37   42   21   34
3    10    9   46    3   21   14   33   15   27   35   16   34   31   39   37
4    34   37   11   25   27   49   28   41   12    5   48   32    2   22   45
5    45   39   12    5   22   17   44   47    8   40   36    7   43   15   46
6     8   23   28   31   44    4    2   19   10   42   22    6   33   29   25
7    38   41   35   14    7   18   26   20   25    3   24   29    5   36    8
8    19    1   44   39   23    9    4   17   47   11   33   35   37   32   42
9    24   34   20    8    9   27    3   13    2   38   29    1   46   33   12
10   41   40   45   27   14    8   31   28   42   18   20   30    3   19   49
11   36   21   15   12   26   19   32   48   45    7   39   49   30    8   23
12   30   10   29   35   49   25   40   22   41   34   15   43    9    2   24
13    2   13    4   11   42   37   21   46   24   10   44   16   27   28   14
14   16   33   37   43   32   26    5    6   14   36   23   12   18   25   40
15   26   11   49    7   47   24   42   29   17   48   45    3   44   14   16
16   42    8   19    6   25   11   10    4   31    1   32   13   15   12   41
17   28   31   43    9   24   16   37   35   26    8    2   19   40   48    4
18   32    5   27   13   15   41   22   44   34   25   21   33   36   37   26
19   18   35   17   37   20   36   23   38   39   14   40   28   29   45    3
20   14   12   40   36   10   43   15   27    7   49    9   20   47   38   19
21   48    3   16   38   33    6   12    5   18   47   30   46   34   42   20
22   37   17   34   41   48   35   24   36    6   19   12   27    4   30   44
23    9   38   24    4    3   34   43   14   32   28    1   48    8   10   29
24   39   20   10   49   11    5   18    2   29   33   37    8   32    7   43
25    5   22    7   47   18   15   13   45   16   41   42   40   49   34   31
26    1    6   14   21   30   23   49    3   46   39   11   25   16   26   13
27   25    2   33   32   31   22   30    7   20   26   17   38    1   11    6
28   43   36   42   40   46   21    9   10   44   31    4   47   20   17   48
29   44   14   32   28   12   31   20   42   21   24   26   10   13    6   22
30    4   18   21   16    6    1   34   30   35   32   19    2    7   49   33
31   40   49   26   45   29   46   41   16   37   15    8   36   11    5    1
32   11   19   23   48   13   28   17   25    3   22   47   18   41   16   32
33    3   15   47   20    5   39   45   33   11    4   27   44   14   40   35
34   27   46   22   30   41   12    7   40    9   23   49    5   10   31   18
35   35   42    9   17    2   29   38   43   48    6   13   14   19    4   21
36   31   43    3   23   36   40   35    9   49   44   14   42    6    1   39
37   46   16    5   42   40   48   19   23   30   20   41   39   25   44   47
38   49   25   39   44   45    7    6   24    5   43   18   11   48   13   17
39    7    4    1   26   34   13   29    8   15   37   31   22   38   24    5
40    6   29   38    2   37    3   27   32   28   21   46   45   12   43    9
41   47   28   13   19   35   33   36   34   38   12   25    4   45   18    2
42   22   24   41   18    8    2   47   26    1   16   10   17   23   35   11
43   29   45    2   33   19   32    8   39   22   13    3   31   21   47   27
44   17   47    8   24   38   10   11   37   33   27   28   15   26   41   30
45   13    7   30   10   43   47   25   18   40    2    5   23   28   20   36
46   21   32   31   22   39   44   48   49   36   29    7   24   17    9   10
47   20   26   48   34   28   38   46    1   19   17   35   41   24   23    7
48   12   44   25   15    1   20   16   21   43   45    6    9   22   46   38
49   23   27   18   46   16   42   14   12    4   30   34   26   39    3   15

:    46   47   48   49    :=
1     7   19   10   41
2     9    3   48   12
3    23   40   47   18
4    20   14    4   26
5    30   32   16    6
6    24   49   13   38
7    17   11   44    1
8    10   26   20   16
9    47   43   41    5
10   15   36    1   22
11   13   17   38   35
12   11    7   39   44
13   48    6   29   34
14   45    4   31   21
15   31   10    2   13
16   39    9   18   33
17   32    1   21    7
18   35   30   49   28
19   46   24   43   11
20    6    5   23    8
21   27   25   22   17
22    5   46   42   15
23   19   18   40   25
24   41   22   28   45
25   12   39   37    9
26   36   47   33   27
27   21   35   14   23
28    2   38    3   24
29   43   23   36   37
30   29   48   24   46
31    3   44    9   42
32    8   27   15   30
33   26   12   17    2
34   38   20   45   47
35   34   28   25   39
36   28   41   46   19
37   22    8   26   10
38   33   21   34    3
39   14   42   32   36
40   16   15   30   20
41   49   31    7   40
42    4   37   27   29
43   18   34   12   48
44    1   45    5   14
45   42   29   35    4
46   25   33   19   43
47   37   16   11   32
48   40    2    8   31
49   44   13    6   49
;

