a7       .          .           .           .          -6.95653   -81.3275
a8       .       -58.472        .           .            .           .
a9       .          .        -93.5188       .            .        -35.6392

:        b8          b9        :=
a1    -74.8509    -53.5812
a14      .         -7.67458
a15     7.63026   -48.415
a16   -10.3241       .
a17   -63.3644       .
a18      .        -47.5
a20      .        -64.5827
a9       .         -9.20966
;

